,mean_excess,mean_excess_ann,beta,alpha,alpha_ann,t_alpha,predicted_excess,predicted_excess_ann,r_squared,n_obs
D1,0.0033220164609053496,0.0398641975308642,1.088383642476585,-0.0018030163905507512,-0.021636196686609016,-1.7967987921273219,0.0051250328514561,0.0615003942174732,0.8686893114590111,486.0
D2,0.005101440329218107,0.06121728395061729,1.0311157263418753,0.0002460733750341941,0.0029528805004103292,0.38998825108865026,0.004855366954183913,0.05826440345020696,0.9233984431446376,486.0
D3,0.005024074074074074,0.06028888888888889,1.0144720744343223,0.00024707954250422734,0.002964954510050728,0.3290209078129126,0.004776994531569849,0.05732393437883818,0.9054342802529585,486.0
D4,0.004989094650205761,0.05986913580246914,0.9751048468962135,0.00039747439892595773,0.004769692787111493,0.3930855026561142,0.004591620251279804,0.055099443015357644,0.858194074212113,486.0
D5,0.004983539094650206,0.059802469135802463,0.8871548971824463,0.0008060617650164039,0.009672741180196847,0.8296126815877547,0.0041774773296338035,0.05012972795560564,0.8282888744718164,486.0
D6,0.006477160493827161,0.07772592592592592,0.8771711411156035,0.0023466951513517326,0.02816034181622079,2.141516505499662,0.004130465342475429,0.049565584109705144,0.7859960351183396,486.0
D7,0.006854732510288067,0.0822567901234568,0.8587666534693537,0.002810931097809435,0.03373117317371322,2.493610367887008,0.004043801412478633,0.0485256169497436,0.7664379150057692,486.0
D8,0.007683127572016461,0.09219753086419753,0.8711835526230866,0.0035808568720618653,0.04297028246474238,3.1777372960503842,0.004102270699954596,0.04922724839945515,0.7673784926601037,486.0
D9,0.008515843621399177,0.10219012345679013,0.9162004027832068,0.004201595428458091,0.05041914514149709,3.1726998296524043,0.004314248192941088,0.05177097831529306,0.7413866787389605,486.0
D10,0.009779835390946501,0.11735802469135802,1.0119215725332864,0.005014850784480608,0.060178209413767295,3.107865933248747,0.004764984606465897,0.057179815277590765,0.6872003443207,486.0
